description,biddable,startprice,condition,cellular,carrier,color,storage,productline,sold,UniqueID
99%,0,249.99,Used,0,None,Space Gray,16,Unknown,0,11001
#6428,0,124.95,Used,0,None,Unknown,16,iPad 1,0,11207
&#034;Great Working Condition&#034;,1,0.99,Used,1,AT&T,White,16,iPad mini 2,1,10657
"*FREE* Same-Day Ship | 90-Day Warranty | 100% Functional, Includes All Major Accessories, Shows ",0,200.29,Seller refurbished,0,None,Black,16,iPad 3,0,10949
*Great condition*Minimal use*Case included,0,199.99,Used,Unknown,Unknown,Unknown,16,iPad 1,0,11305
â€œGrade A condition means that the Ipad is 100% working condition. Cosmetically 8/9 out of 10 - Will ,0,219,Manufacturer refurbished,1,Verizon,Black,16,iPad mini,1,11514
"100% Fully Functional, Clean ESN &amp; iCloud Clear, professionally restored, inspected, &amp; tested. This ",0,127.99,Seller refurbished,1,Verizon,Black,16,iPad 2,0,10665
100% Great Condition!!  Had in a case all the time and handled with care.The iPad does have a case ,0,379.99,Used,0,None,Black,16,iPad Air,0,10877
100% working and cosmetically perfect. Minimal signs of use. No or invisible scratches on front ,0,164.99,Used,0,None,White,16,iPad 2,0,11849
14 Days Warranty. Product has some sign of wear and scratches from previous use. (Please see ,0,79.99,Seller refurbished,1,AT&T,Black,16,iPad 1,1,10068
4 of 5. This item is gently used. The item shows minor signs of wear and tear including scuff marks ,0,189.99,Used,1,AT&T,Unknown,16,iPad mini,0,10362
4-5 semi deep 1&#034; scratches near top middle portion of screen.  Not really possible to photograph ,1,39.99,Used,0,None,Black,16,iPad 1,1,10300
6 months old.,1,50,New other (see details),0,None,White,16,iPad Air 2,1,10814
"A device listed in Average/Fair  condition with some scratches, scuffs on the housing &amp; screen (do ",0,76,Used,0,None,White,16,Unknown,0,10777
A device listed in good condition with a few minor mark and/or scratches on the housing or display ,0,140,Used,1,Verizon,White,16,iPad 2,0,10560
A device listed in good condition with a few minor mark and/or scratches on the housing or display ,0,80,Used,0,None,White,16,Unknown,0,10609
A device listed in good condition with a few minor mark and/or scratches on the housing or display ,0,186,Used,1,AT&T,White,16,Unknown,0,10651
A device listed in good condition with a few minor mark and/or scratches on the housing or display ,0,288,Used,1,Verizon,White,16,iPad 2,1,10717
A device listed in good condition with a few minor mark and/or scratches on the housing or display ,0,89,Used,1,AT&T,White,16,Unknown,0,10804
A device listed in near mint used cosmetic condition with light blemishes from use. Housing &amp; ,0,171,Used,1,Verizon,White,16,iPad 2,0,10776
A device listed in near mint used cosmetic condition with light blemishes from use. Housing &amp; ,0,162,Used,1,Verizon,White,16,iPad 2,0,10934
A device listed in near mint used cosmetic condition with light blemishes from use. Housing &amp; ,0,227,Used,1,AT&T,White,16,iPad 1,0,10996
A device listed in near mint used cosmetic condition with light blemishes from use. Housing &amp; ,0,280,Used,1,Unknown,White,16,iPad 4,0,11298
a icloud lock that&#039;s why im selling it for parts as-is. The ipad has signs of use such as few ,1,160,For parts or not working,0,None,Unknown,16,iPad 2,0,11685
Absolute must-have. Signs of use. Scratches on the back of the device. Check out the photos. Item ,1,56,Used,0,None,Unknown,16,iPad 1,1,10723
Almost new condition,1,70,Used,0,None,Black,16,Unknown,1,10225
"almost new, has small scratches on the side (as pictured) works perfectlycord and charger are ",0,250,Used,0,None,Black,16,iPad 4,1,10920
Also Includes life proof case charger and wall adapter,0,500,Used,1,T-Mobile,Unknown,16,iPad mini 2,0,11021
"Apple iPad mini 1st Generation 16GB, Wi-Fi, 7.9in - Space Gray, great condition comes with the ",0,169.99,Used,0,None,Space Gray,16,iPad mini,0,10520
As depicted and described. THIS IS A RE-LISTING DUE TO WINNING BIDDER ON BUY IT NOW DEFAULTING AND ,1,100,Used,0,None,White,16,iPad mini,1,11469
"AS SEEN IN THE FRONT FACING PHOTO, THERE IS A VISIBLE SCRATCH.  HOWEVER, THAT SCRATCH IS ON THE ",0,110,Used,0,None,White,16,iPad 1,0,11116
"Barely used, like new",0,250,Used,0,None,Unknown,16,iPad 3,0,10115
"Barely used, like new",0,250,Used,0,None,Unknown,16,iPad 3,0,10128
Barley been used! In great condition. Excellent camera. Light and durable. You will love it!,0,200,Seller refurbished,0,None,Unknown,16,iPad 3,0,11588
"Black bezel, Screen like new.  Working excellently.",0,250,Used,0,None,Black,16,iPad 4,0,11846
Brand New except the box was opened but unused.,1,210,New other (see details),0,None,Space Gray,16,iPad mini,0,10705
Brand new unopened still sealed ipad air 2.,1,199.99,New other (see details),1,Sprint,White,16,iPad Air,1,10119
brand new&lt;br&gt;,0,100,New other (see details),0,None,Unknown,16,iPad mini,1,11504
"Brand new, iPad untouched and still wrapped in original plastic inside box. Opened only to verify ",0,449,New other (see details),0,None,White,16,iPad Air 2,0,11220
"Brand new, never been used. Plastic has not been removed from iPad, however the box is not sealed in ",1,449.99,New other (see details),Unknown,Unknown,Gold,16,iPad mini 3,0,10691
Brand-new condition no box has charger cord is in mint condition has had a screen protector and a ,0,340,New other (see details),0,None,Unknown,16,iPad 2,0,10440
BROKEN DEVICE: Problem with Apple ID,1,149.98,For parts or not working,0,None,Unknown,16,iPad 4,0,11683
"BROKEN: Device has at least one or more problems: For Parts or Repair",0,29.95,For parts or not working,0,None,Unknown,16,iPad 1,1,11609
