"","price","lot_size","waterfront","age","land_value","construction","air_cond","fuel","heat","sewer","living_area","fireplaces","bathrooms","rooms"
"1",132500,0.09,"No",42,50000,"No","No","Electric","Electric","Private",906,1,1,5
"2",181115,0.92,"No",0,22300,"No","No","Gas","Hot Water","Private",1953,0,2.5,6
"3",109000,0.19,"No",133,7300,"No","No","Gas","Hot Water","Public",1944,1,1,8
"4",155000,0.41,"No",13,18700,"No","No","Gas","Hot Air","Private",1944,1,1.5,5
"5",86060,0.11,"No",0,15000,"Yes","Yes","Gas","Hot Air","Public",840,0,1,3
"6",120000,0.68,"No",31,14000,"No","No","Gas","Hot Air","Private",1152,1,1,8
"7",153000,0.4,"No",33,23300,"No","No","Oil","Hot Water","Private",2752,1,1.5,8
"8",170000,1.21,"No",23,14600,"No","No","Oil","Hot Air","Private",1662,1,1.5,9
"9",90000,0.83,"No",36,22200,"No","No","Electric","Electric","Private",1632,0,1.5,8
"10",122900,1.94,"No",4,21200,"No","No","Gas","Hot Air","None",1416,0,1.5,6
"11",325000,2.29,"No",123,12600,"No","No","Oil","Hot Air","Private",2894,0,1,12
"12",120000,0.92,"No",1,22300,"No","No","Gas","Hot Air","Private",1624,0,2,6
"13",85860,8.97,"No",13,4800,"No","No","Electric","Electric","Private",704,0,1,4
"14",97000,0.11,"No",153,3100,"No","No","Gas","Hot Water","Public",1383,0,2,5
"15",127000,0.14,"No",9,300,"No","No","Oil","Hot Air","Private",1300,0,1.5,8
"16",89900,0,"No",88,2500,"No","No","Gas","Hot Water","Public",936,0,1,4
"17",155000,0.13,"No",9,300,"No","No","Oil","Hot Air","Private",1300,0,1.5,7
"18",253750,2,"No",0,49800,"No","Yes","Gas","Hot Air","None",2816,1,2.5,12
"19",60000,0.21,"No",82,8500,"No","No","Oil","Hot Water","Private",924,0,1,6
"20",87500,0.88,"No",17,19400,"No","No","Oil","Hot Air","Private",1092,0,1,6
"21",112000,1,"No",12,8600,"No","No","Electric","Electric","Private",1056,0,1,7
