year,sex,name,n,prop
1950,Female,Marion,1387,7.8869e-4
1950,Female,Jessie,937,5.328e-4
1950,Female,Kerry,478,2.718e-4
1950,Female,Jaime,28,1.592e-5
1950,Female,Casey,16,9.1e-6
1950,Male,Kerry,1062,5.8382e-4
1950,Male,Jessie,1019,5.6018e-4
1950,Male,Marion,821,4.5133e-4
1950,Male,Harley,265,1.4568e-4
1950,Male,Jaime,155,8.521e-5
1950,Male,Riley,152,8.356e-5
1950,Male,Casey,117,6.432e-5
1950,Male,Quinn,26,1.429e-5
1950,Male,Peyton,18,9.9e-6
1951,Female,Marion,1340,7.2539e-4
1951,Female,Jessie,941,5.094e-4
1951,Female,Kerry,491,2.658e-4
1951,Female,Jaime,28,1.516e-5
1951,Female,Casey,18,9.74e-6
1951,Female,Riley,5,2.71e-6
1951,Male,Kerry,1182,6.1826e-4
1951,Male,Jessie,988,5.1678e-4
1951,Male,Marion,854,4.4669e-4
1951,Male,Harley,257,1.3443e-4
1951,Male,Jaime,168,8.787e-5
1951,Male,Casey,154,8.055e-5
1951,Male,Riley,146,7.637e-5
1951,Male,Peyton,27,1.412e-5
1951,Male,Quinn,27,1.412e-5
1952,Female,Marion,1264,6.6447e-4
1952,Female,Jessie,877,4.6103e-4
1952,Female,Kerry,556,2.9228e-4
1952,Female,Casey,28,1.472e-5
1952,Female,Jaime,23,1.209e-5
1952,Female,Riley,7,3.68e-6
1952,Female,Harley,5,2.63e-6
1952,Male,Kerry,1169,5.9214e-4
1952,Male,Jessie,1035,5.2426e-4
1952,Male,Marion,785,3.9763e-4
1952,Male,Harley,272,1.3778e-4
1952,Male,Jaime,206,1.0435e-4
1952,Male,Casey,180,9.118e-5
1952,Male,Riley,164,8.307e-5
1952,Male,Peyton,20,1.013e-5
1952,Male,Quinn,17,8.61e-6
1953,Female,Marion,1276,6.6145e-4
1953,Female,Jessie,900,4.6654e-4
1953,Female,Kerry,569,2.9496e-4
1953,Female,Jaime,35,1.814e-5
1953,Female,Casey,31,1.607e-5
1953,Female,Harley,5,2.59e-6
1953,Male,Kerry,1261,6.301e-4
1953,Male,Jessie,1067,5.3317e-4
1953,Male,Marion,775,3.8726e-4
1953,Male,Jaime,257,1.2842e-4
1953,Male,Harley,256,1.2792e-4
1953,Male,Casey,179,8.944e-5
1953,Male,Riley,163,8.145e-5
1953,Male,Quinn,23,1.149e-5
1953,Male,Peyton,19,9.49e-6
1954,Female,Marion,1337,6.7158e-4
1954,Female,Jessie,762,3.8275e-4
1954,Female,Kerry,582,2.9234e-4
1954,Female,Jaime,44,2.21e-5
1954,Female,Casey,34,1.708e-5
