Id,year,brand,full_model_name,model_name,price,distance_travelled(kms),fuel_type,city,brand_rank,car_age
0,2016,Honda,Honda Brio S MT,Brio,425000.0,9680.0,Petrol,Mumbai,7,5.0
1,2012,Nissan,Nissan Sunny XV Diesel,Sunny,325000.0,119120.0,Diesel,Mumbai,11,9.0
2,2017,Toyota,Toyota Fortuner 2.8 4x2 MT [2016-2020],Fortuner,2650000.0,64593.0,Diesel,Thane,1,4.0
3,2017,Mercedes-Benz,Mercedes-Benz E-Class E 220d Expression [2019-2019],E-Class,4195000.0,25000.0,Diesel,Mumbai,2,4.0
4,2012,Hyundai,Hyundai Verna Fluidic 1.6 CRDi SX,Verna,475000.0,23800.0,Diesel,Mumbai,14,9.0
5,2012,Hyundai,Hyundai i20 Sportz 1.2 BS-IV,i20,335000.0,45000.0,Petrol,Mumbai,14,9.0
6,2019,Toyota,Toyota Glanza V,Glanza,750000.0,19500.0,Petrol,Mumbai,1,2.0
7,2018,Mercedes-Benz,Mercedes-Benz GLE 250 d,GLE,5500000.0,32000.0,Diesel,Mumbai,2,3.0
8,2017,Hyundai,Hyundai Grand i10 Sportz (O) AT 1.2 Kappa VTVT [2017-2018],Grand,565000.0,44329.0,Petrol,Mumbai,14,4.0
9,2015,Maruti Suzuki,Maruti Suzuki Swift Dzire ZXI,Swift,510000.0,48286.0,Petrol,Mumbai,32,6.0
10,2015,Hyundai,Hyundai Xcent SX 1.2 (O),Xcent,465000.00000000006,24935.0,Petrol,Mumbai,14,6.0
11,2016,Toyota,Toyota Innova Crysta 2.4 G 7 STR [2016-2017],Innova,1485000.0,59758.0,Diesel,Mumbai,1,5.0
12,2017,Maruti Suzuki,Maruti Suzuki Baleno Alpha 1.2,Baleno,610000.0,40119.0,Petrol,Mumbai,32,4.0
13,2016,Renault,Renault Pulse RxL Petrol [2015-2017],Pulse,365000.0,22625.0,Petrol,Mumbai,15,5.0
14,2017,Maruti Suzuki,Maruti Suzuki Baleno Zeta 1.2 AT,Baleno,699000.0,16540.0,Petrol,Mumbai,32,4.0
15,2016,Hyundai,Hyundai Xcent S AT 1.2 (O),Xcent,595000.0,41280.0,Petrol,Mumbai,14,5.0
16,2016,Toyota,Toyota Corolla Altis VL AT Petrol,Corolla,1035000.0,97679.0,Petrol,Mumbai,1,5.0
17,2015,Maruti Suzuki,Maruti Suzuki Swift ZDi,Swift,575000.0,43000.0,Diesel,Mumbai,32,6.0
18,2015,Volkswagen,Volkswagen Polo Highline1.2L (P),Polo,480000.0,14846.0,Petrol,Mumbai,3,6.0
