make,peak-rpm,curb-weight,body-style,wheel-base,length,engine-type,num-of-cylinders,horsepower,city-mpg,price
alfa-romero,5000,2548,convertible,88.6,168.8,dohc,four,111,21,13495
alfa-romero,5000,2823,convertible,88.6,168.8,dohc,four,111,21,16500
alfa-romero,5500,2337,hatchback,?,171.2,ohcv,six,154,19,16500
audi,?,2824,sedan,99.8,176.6,ohc,four,102,24,13950
audi,5500,2507,sedan,99.4,176.6,ohc,five,115,18,17450
audi,5500,2844,sedan,99.8,177.3,ohc,five,110,19,15250
audi,?,2954,wagon,105.8,192.7,?,five,110,19,18920
bmw,5500,3086,sedan,101.2,176.8,?,four,?,23,16430
bmw,?,3053,sedan,101.2,176.8,?,four,101,23,16925
bmw,5800,2395,sedan,101.2,176.8,ohc,six,121,21,20970
bmw,5800,2395,sedan,103.5,189,ohc,?,182,16,30760
bmw,4250,2710,sedan,103.5,193.8,ohc,six,182,16,41315
bmw,4250,2765,sedan,110,197,ohc,six,182,15,36880
chevrolet,?,3055,hatchback,88.4,141.1,?,three,48,47,5151
chevrolet,5400,3230,hatchback,?,155.9,ohc,four,70,38,6295
chevrolet,5400,3380,sedan,?,158.8,ohc,four,23212,38,6575
dodge,5400,3505,hatchback,93.7,157.3,ohc,four,68,-21312,6377
dodge,5100,1488,hatchback,93.7,157.3,ohc,four,68,31,6229
honda,?,1874,?,96.5,157.1,ohc,four,76,30,7295
honda,5400,1909,?,96.5,175.4,ohc,four,101,24,12945
honda,5500,1876,?,96.5,169.1,ohc,four,100,25,10345
isuzu,5500,1876,sedan,94.3,170.7,ohc,four,78,24,6785
isuzu,5500,2128,sedan,?,155.9,ohc,four,70,38,?
isuzu,5500,1967,sedan,?,155.9,ohc,four,70,38,?
jaguar,5500,?,sedan,113,199.6,dohc,six,176,15,?
jaguar,?,1989,sedan,113,199.6,dohc,six,176,15,35550
jaguar,5500,?,sedan,102,191.7,ohcv,twelve,262,13,36000
?,5000,2535,hatchback,93.1,159.1,ohc,four,68,30,5195
mazda,5000,2811,hatchback,93.1,159.1,ohc,four,68,31,6095
mazda,4800,1713,hatchback,93.1,159.1,ohc,four,68,31,6795
?,6000,?,hatchback,95.3,169,rotor,two,101,17,11845
mazda,5500,1837,sedan,104.9,175,ohc,four,72,31,18344
mercedes-benz,6000,1940,sedan,110,190.9,ohc,five,123,123213,25552
?,6000,?,wagon,110,190.9,ohc,five,123,22,28248
mercedes-benz,?,2010,sedan,120.9,208.1,ohcv,eight,21312,14,40960
mercedes-benz,6000,2024,hardtop,112,199.2,ohcv,eight,184,14,45400
?,5800,2236,hatchback,93.7,157.3,ohc,four,68,37,5389
mitsubishi,5800,2289,hatchback,93.7,157.3,ohc,four,68,31,6189
mitsubishi,5800,2304,sedan,96.3,172.4,ohc,four,?,25,6989
mitsubishi,5800,2372,sedan,96.3,172.4,ohc,four,88,25,8189
nissan,5800,2465,sedan,?,165.3,ohc,four,55,45,7099
nissan,?,2293,sedan,?,165.3,ohc,four,69,31,6649
nissan,4800,2337,sedan,?,165.3,ohc,four,69,31,6849
?,5400,1874,wagon,?,170.2,ohc,four,69,31,7349
nissan,5400,1909,sedan,100.4,184.6,ohcv,six,152,19,13499
porsche,5000,2734,hardtop,89.5,168.9,ohcf,six,12123,17,34028
porsche,4750,4066,convertible,89.5,168.9,ohcf,six,207,17,37028
porsche,4750,4066,hatchback,98.4,175.7,dohcv,eight,288,17,
toyota,?,3950,hatchback,95.7,158.7,ohc,four,62,35,5348
?,5000,1890,hatchback,95.7,158.7,ohc,four,62,31,6338
toyota,5000,1900,hatchback,95.7,158.7,ohc,four,62,?,?
toyota,5000,1905,wagon,95.7,169.7,ohc,?,?,31,6918
toyota,5000,1945,wagon,95.7,169.7,ohc,four,62,27,7898
toyota,5000,1950,wagon,95.7,169.7,ohc,four,62,3232,8778
toyota,?,2380,wagon,?,187.8,dohc,six,156,32,15750
volkswagen,6000,2380,sedan,97.3,171.7,ohc,?,52,37,7775
volkswagen,6000,2385,sedan,97.3,171.7,ohc,four,85,27,7975
volkswagen,6000,2500,sedan,97.3,171.7,ohc,four,13213,37,7995
?,4800,2385,sedan,97.3,171.7,ohc,four,100,26,9995
volvo,4800,2410,sedan,104.3,188.8,ohc,four,114,23,12940
volvo,4800,2385,wagon,104.3,188.8,ohc,four,114,23,13415
